YEAR,CO2,CH4,N2O,ENERGY_CO2,ENERGY_CH4,ENERGY_N2O,INDUSTRIAL_PROCESS_CO2,INDUSTRIAL_PROCESS_CH4,INDUSTRIAL_PROCESS_N2O,AGRICULTURE_CO2,AGRICULTURE_CH4,AGRICULTURE_N2O,WASTE_CO2,WASTE_CH4,WASTE_N2O
1990,319999.845,117840.420,28337.973,287887.541,15757.714,2888.179,30144.819,257.954,872.910,1564.993,91145.253,20911.772,402.493,10679.499,3665.112
1991,329716.353,119392.867,27177.033,298614.787,16023.514,3024.492,28803.826,259.605,1018.727,1880.544,91072.314,19399.335,417.196,12037.433,3734.481
1992,333049.712,117998.461,27988.131,299915.893,16005.651,3049.540,30487.396,277.783,617.145,2213.993,88280.117,20525.252,432.430,13434.911,3796.195
1993,338075.107,118275.355,26219.011,301303.624,16892.611,3097.757,31086.031,246.020,695.182,5237.173,86022.958,18592.721,448.279,15113.766,3833.351
1994,360853.348,124026.181,28335.696,321255.043,16871.522,3217.367,34158.624,248.222,762.637,4974.894,90333.784,20417.485,464.786,16572.654,3938.207
1995,347496.645,127038.457,28258.993,309168.372,18489.596,3098.775,33696.350,257.785,1300.960,4150.053,90011.838,19942.418,481.870,18279.238,3916.839
1996,359553.271,131254.597,27629.111,322696.393,24314.066,3160.466,36719.521,254.862,1592.751,-362.985,87078.427,18966.220,500.341,19607.243,3909.674
1997,375317.236,138365.119,29935.230,339872.616,29098.558,3306.357,40151.419,247.003,1282.248,-5226.351,87649.854,21333.999,519.552,21369.704,4012.628
1998,393944.487,143331.786,30056.781,360117.934,30985.053,3372.793,40961.072,240.550,1188.319,7674.052,89466.049,21436.379,539.532,22640.135,4059.290
1999,386967.007,136486.779,31511.028,352617.358,27077.324,3305.396,44482.928,221.240,1020.816,-10677.945,86288.772,23102.002,544.667,22899.443,4082.814
2000,195440.705,139956.673,31982.243,365422.280,28213.073,3419.741,46259.107,223.048,550.692,-216777.067,87639.564,23766.693,536.385,23880.989,4245.118
2001,197460.695,140413.078,31193.868,363505.282,26498.874,3364.906,45064.496,206.483,462.631,-211636.769,88114.749,23194.722,527.686,25592.972,4171.609
2002,229882.008,143348.720,31902.017,383299.479,25524.813,3441.301,43299.366,193.589,317.999,-197252.507,90692.245,24073.287,535.670,26938.073,4069.430
2003,224329.118,145781.654,32541.264,378538.555,26433.946,3482.418,45047.115,196.003,330.986,-199920.438,91046.290,24740.733,663.887,28105.416,3987.128
2004,238241.812,144473.811,34071.647,388696.271,25107.578,3600.267,53734.537,198.128,330.380,-204855.638,90481.356,26195.471,666.642,28686.748,3945.530
2005,253144.378,147152.584,32198.640,404045.165,25702.129,3671.520,46906.675,206.730,336.182,-198454.852,90453.201,24774.443,647.390,30790.524,3416.494
2006,262024.906,151651.167,31918.170,412674.476,27457.301,3733.324,51456.822,216.419,363.285,-202741.424,91384.183,24393.739,635.032,32593.264,3427.823
2007,289366.123,161204.327,33870.670,432645.948,34641.339,3808.657,49975.024,187.539,355.819,-193872.139,91749.494,26364.127,617.291,34625.955,3342.067
2008,313910.935,180349.048,35691.537,457631.285,51038.813,3852.801,51452.209,201.414,264.958,-196127.561,92760.523,28297.779,955.003,36348.298,3275.999
2009,320049.422,177993.314,34340.821,447212.950,45204.527,3574.504,46602.763,211.986,294.588,-174718.901,94154.509,27229.508,952.610,38422.292,3242.220
2010,310682.774,168300.249,40108.018,443839.471,33436.543,3487.476,51387.213,213.393,691.528,-185496.649,94315.174,32806.060,952.738,40335.140,3122.954
2011,331790.514,168480.162,40920.948,462535.475,29086.935,3442.735,48310.848,220.859,702.356,-180018.900,97508.749,33642.543,963.091,41663.620,3133.313
2012,325051.510,160183.734,38281.439,459851.403,23944.247,3272.710,48436.263,221.002,687.366,-184154.186,93546.748,31143.922,918.030,42471.737,3177.442
2013,324012.193,163464.872,45831.028,459744.013,24766.873,3108.570,48873.048,205.726,675.405,-185545.320,94866.903,38867.791,940.452,43625.370,3179.262
2014,326893.537,168613.856,40075.084,456030.645,27600.044,2931.862,49959.919,198.353,666.784,-180133.395,95665.315,33255.297,1036.368,45150.144,3221.142
2015,323593.447,168025.655,42953.349,466450.234,24883.576,2965.150,48220.997,185.001,671.122,-192171.155,96485.719,36377.166,1093.371,46471.360,2939.911
2016,370858.748,147362.998,36897.138,504443.343,28172.656,2952.914,48878.946,153.801,657.615,-183673.392,98453.142,30759.647,1209.851,47583.399,2526.962
2017,323275.764,170958.542,38627.529,474862.925,21752.037,2710.576,50511.110,274.190,676.649,-203222.732,100616.167,32779.356,1124.462,48316.148,2460.948
2018,332067.786,173705.912,42778.197,472814.178,22028.239,2657.123,52479.094,278.853,689.087,-194286.155,101931.353,36990.300,1060.668,49467.467,2441.687
2019,295777.936,175558.468,41190.882,444504.901,21170.542,2216.930,50644.049,240.113,626.879,-200408.923,103683.696,35591.490,1037.91,50464.12,2755.52
